ID,Label,pI,hydrophobicity_Cid,hydrophobicity_Jones,hydrophobicity_Ponnuswamy,hydrophobicity_Welling,hydrophobicity_Wilson,hydrophobicity_Zimmerman,hmoment,charge,mw,Aliphatic,Acidic,X.Tiny,X.Small,X.Aliphatic,X.Polar,X.Acidic,Electronic_Properties,Electrophilicity,Hardness,H_bonding,Hydrophobicity_index,Bulky_properties.,Compositional_characteristic_index,Local_flexibility,Electronic_properties,Penetration.Depth,Propensity.to.in.vitro.Aggregation,Angle.Subtended.by.the.Hydrophobic.Residues,Amphiphilicity.Index,Propensity.to.PPII.coil,ChargeDensity,InstabilityInd,Aromaticity,HydrophRatio,AASI,ABHPRK,argos,bulkiness,cougar,Ez,flexibility,levitt_alpha,MSS,pepcats,PPCALI,refractivity,t_scale,z3
ExtVal_22,0,11.31,0.294736842,1.843684211,0.456315789,0.3,1.6,1.482105263,0.849979371,5.997985908,2450.01404,5,1,10.526,21.053,26.316,52.632,5.263,-0.983684211,0.528421053,0.132631579,0.210526316,-0.285421053,0.442263158,0.329,-0.106947368,0.394052632,16,0,110,2.08,0.96,0.002443693,6.352631579,0.210526316,0.368421053,2.10368421,1.57894737,-0.00368421,0.74915789,2.40710526,18.85684211,0.50657895,1.12578947,20.44102632,2.21052632,1.95021557,0.50583489,5.46105263,-0.84421053
ExtVal_25,0,10.5,-0.032380952,1.658571429,0.042380952,0.031904762,1.004761905,0.884761905,0.377538099,3.001831187,2848.25924,1,3,19.048,28.571,4.762,66.667,14.286,-0.794285714,0.488571429,-0.248095238,0.083809524,-0.533380952,0.367380952,-0.132190476,0.013761905,0.223904762,22,0,60,2.88,1.04,0.001049427,19.89047619,0.238095238,0.047619048,2.24047619,1.66666667,-0.45571429,0.73180952,2.41871429,17.73142857,0.56538095,1.0647619,21.44866667,2.42857143,3.3296041,0.53634969,7.75571429,0.31428571
ExtVal_26,0,8.1,0.362631579,1.782105263,0.769736842,-0.157105263,2.55,1.613947368,0.64729712,1.841267745,4565.44734,10,5,18.421,42.105,26.316,39.474,13.158,-0.113157895,-0.067105263,-0.227368421,0.020263158,-0.205631579,0.103394737,0.044342105,-0.208815789,0.104763158,19,600.34,80,1.55,1.02,0.000308405,9.8,0.157894737,0.394736842,2.21,1.34210526,-0.15289474,0.70434211,2.81413158,19.66710526,0.5515,1.02526316,20.52618684,2.15789474,0.18244719,0.49021124,3.29710526,-0.225
ExtVal_31,0,2.83,0.313,1.414,1.1145,-0.8365,3.425,1.1025,0.278406727,-2.249021596,2106.43124,5,2,55,75,25,20,10,0.731,-0.319,-0.643,-0.0225,0.1855,-0.43265,0.01295,-0.48015,-0.19795,14,22.47,160,0.69,0.94,-0.001246659,11.23,0.15,0.5,2.2045,0.8,0.1075,0.58825,3.16215,20.3845,0.49165,0.9415,18.033645,1.65,0.04541622,0.43919586,-7.1885,-0.9165
ExtVal_33,0,8.4,-0.023684211,1.14,0.578684211,-0.525789474,2.071052632,1.144210526,0.483254876,3.622988071,3935.47284,7,0,52.632,68.421,18.421,34.211,0,0.552368421,-0.252631579,-0.115789474,0.238421053,-0.086394737,-0.512052632,0.038263158,-0.227657895,0.019921053,22,5.02,50,0.79,1.05,0.00077729,26.26052632,0.105263158,0.368421053,2.06052632,0.78947368,-0.15894737,0.51331579,2.69542105,18.97815789,0.62278947,0.92631579,17.24346316,1.86842105,-2.00438679,0.38467583,-12.02605263,0.31552632
ExtVal_50,0,3.88,-0.11076087,1.169891304,0.438152174,-0.445652174,2.052173913,1.181086957,0.479895912,-7.856010687,9280.43694,20,13,48.913,69.565,21.739,33.696,14.13,0.645,-0.568913043,-0.011413043,0.039021739,-0.130369565,-0.621456522,0.185184783,0.112880435,-0.284054348,30,3.13,20,0.38,1.05,-0.000987454,51.23804348,0.043478261,0.402173913,2.06869565,0.84782609,-0.03347826,0.53259783,2.75969565,20.04152174,0.62676087,0.97782609,17.15420217,1.61956522,-0.78465638,0.36200534,-10.98923913,0.27130435
ExtVal_51,0,8.34,0.103684211,1.292368421,0.641052632,-0.447894737,2.571052632,1.244210526,0.59864972,4.772054323,4291.94464,2,0,44.737,57.895,5.263,34.211,0,0.598421053,0.394736842,-0.508684211,0.245789474,0.015368421,-0.388736842,-0.371894737,-0.183131579,0.150210526,25,0,90,1.08,1.08,0.000903321,46.66315789,0.131578947,0.289473684,2.03710526,0.94736842,-0.21789474,0.53621053,2.51592105,19.42842105,0.58434211,0.90236842,18.11291053,2.18421053,-3.01213446,0.4797171,-8.55,1.01368421
ExtVal_52,0,7.83,0.23,1.456333333,0.871,-0.636333333,2.7,1.337,0.258142916,1.626467333,3175.78014,8,1,46.667,66.667,26.667,30,3.333,0.557333333,-0.208666667,-0.216333333,0.170333333,0.0131,-0.432866667,-0.0151,-0.113766667,0.0536,15,3.34,80,0.77,1.09,0.000334721,26.55666667,0.066666667,0.466666667,1.99,0.83333333,-0.02933333,0.5996,2.72796667,19.618,0.57496667,0.96066667,18.81246,1.86666667,-1.08010198,0.43308253,-8.775,-0.11033333
ExtVal_53,0,10.52,-0.005555556,1.24,0.570222222,-0.215555556,1.531111111,1.274666667,0.631123384,10.62619204,5161.19654,9,2,35.556,44.444,20,48.889,4.444,-0.589333333,-0.033333333,-0.234222222,0.310666667,-0.278288889,-0.212466667,0.1022,-0.186933333,0.527577778,30,4,30,1.21,0.99,0.00194917,53.13111111,0.044444444,0.333333333,2.13622222,1.11111111,-0.16466667,0.60206667,2.4466,18.75466667,0.66193333,1.00088889,18.36363556,2.06666667,-1.42588924,0.45167072,-5.06066667,-0.20688889
ExtVal_54,0,8.42,0.124166667,1.234722222,0.806111111,-0.237777778,2.311111111,1.137222222,0.358907735,3.716332886,4221.85544,7,1,41.667,52.778,19.444,44.444,2.778,0.251111111,0.043055556,-0.279722222,0.120277778,-0.063638889,-0.191194444,-0.20975,-0.250555556,0.380055556,18,0,80,0.89,1.06,0.000735461,69.49722222,0.166666667,0.472222222,2.12861111,1.05555556,-0.01972222,0.61469444,2.53183333,18.65944444,0.49766667,1.04861111,20.11386667,2.19444444,-0.56291417,0.48552656,-2.00861111,0.4225
ExtVal_55,0,3.94,-0.024137931,1.187931034,0.593103448,-0.882758621,2.355172414,1.136896552,0.268550277,-1.371645701,2979.39794,3,2,58.621,79.31,10.345,34.483,6.897,0.746206897,-0.437931034,-0.424827586,0.110689655,0.057896552,-0.638827586,-0.097965517,0.023413793,-0.111655172,19,0,60,0.37,1.09,-0.000648788,47.27931034,0.068965517,0.344827586,1.98448276,0.79310345,-0.06068966,0.56248276,2.74910345,20.62241379,0.60048276,0.88,18.28453448,1.72413793,-1.0339244,0.40573388,-13.01793103,-0.08586207
ExtVal_56,0,6.6,-0.033703704,1.288703704,0.378333333,0.071111111,1.864814815,1.323703704,0.568717322,-0.40474577,6498.32144,8,9,24.074,46.296,14.815,53.704,16.667,0.25037037,-0.403148148,-0.159074074,-0.005740741,-0.359444444,-0.114203704,-0.169740741,-0.198314815,0.057907407,30,0,20,1.34,1.05,-0.000186664,52.17796296,0.12962963,0.314814815,2.27444444,1.27777778,-0.28351852,0.62611111,2.55596296,19.18648148,0.58559259,1.06759259,20.67728148,2.37037037,-1.36127021,0.48354974,4.28962963,1.60925926
ExtVal_57,0,8.42,0.0315,1.0075,0.76725,-0.125,1.8725,1.068,0.581633934,3.807241977,4122.76454,12,1,52.5,67.5,30,37.5,2.5,0.162,-0.107,-0.091,0.26625,-0.06115,-0.5252,0.210975,-0.311525,0.1303,16,4.04,60,0.54,0.96,0.000763325,20.13,0.025,0.45,2.15525,0.8,0.04425,0.536,2.706775,19.0855,0.552025,0.99275,17.30009,1.825,-2.05609059,0.37863861,-10.8275,-0.14625
ExtVal_58,0,8.52,-0.075833333,1.263166667,0.3815,-0.281166667,1.551666667,1.021666667,0.635153606,5.507247824,7017.07674,7,6,40,50,11.667,53.333,10,-0.076833333,-0.082833333,-0.290666667,0.165666667,-0.232016667,-0.21595,-0.073183333,-0.137866667,0.191433333,30,49.09,30,1.44,1.03,0.000677635,39.20666667,0.1,0.25,2.1745,1.16666667,-0.21066667,0.60526667,2.54066667,19.07733333,0.61866667,1.00983333,19.38799667,2.13333333,-0.20641268,0.46667842,-2.12016667,0.44333333
ExtVal_59,0,8.76,-0.003,1.2776,0.3958,-0.3218,1.81,1.3036,0.48211016,6.59098589,5601.52324,4,2,40,64,8,44,4,0.374,0.0244,-0.2598,0.2242,-0.25864,-0.34574,-0.1677,-0.04574,0.17814,30,0,40,0.95,1.1,0.001033828,14.47,0.12,0.32,2.0238,1.08,-0.2268,0.59098,2.43876,19.3838,0.57656,0.942,19.242174,2.14,-1.16987852,0.44389372,-7.0566,0.706
ExtVal_60,0,8.53,0.156086957,1.290869565,0.789130435,-0.275652174,2.339130435,1.369275362,0.459430716,5.592423061,7410.87294,22,2,42.029,52.174,31.884,36.232,2.899,-0.057681159,-0.289130435,0.023623188,0.158695652,0.133231884,-0.259898551,0.352942029,-0.06057971,0.082927536,26,995.1,40,0.58,0.99,0.000646889,39.32608696,0.057971014,0.47826087,2.05318841,0.92753623,0.30043478,0.6202029,2.73930435,20.31565217,0.55133333,1.02623188,18.3825087,1.76811594,-1.6035274,0.40139441,-8.08898551,-0.98695652
ExtVal_61,0,8.4,0.090540541,1.362702703,0.577297297,-0.388918919,1.886486486,1.391891892,0.395039987,3.716379115,4085.78024,6,2,43.243,56.757,16.216,40.541,5.405,0.336216216,-0.076216216,-0.21972973,0.203243243,-0.008351351,-0.324513514,-0.043,-0.122162162,0.099891892,30,0,90,0.88,1.06,0.00075922,38.61891892,0.108108108,0.378378378,2.04108108,1.02702703,-0.11567568,0.58316216,2.58064865,19.85837838,0.58551351,0.97108108,18.84564595,2.05405405,-1.39896604,0.43927657,-6.71594595,0.33135135
ExtVal_63,0,9.52,-0.024,1.188,0.468222222,0.012888889,1.688888889,1.235777778,0.689718231,8.499999194,4926.88164,9,1,44.444,60,20,46.667,2.222,0.135333333,-0.060888889,-0.067777778,0.296,-0.157222222,-0.389244444,0.063733333,-0.066444444,0.282955556,30,0,50,0.85,1.07,0.001573616,25.70666667,0.044444444,0.4,1.99955556,0.97777778,0.00066667,0.59128889,2.35433333,19.29533333,0.57677778,1.01822222,18.94950444,2.06666667,-1.82184572,0.43725997,-7.49733333,0.44422222
ExtVal_64,0,5.74,0.098478261,1.314565217,0.711521739,-0.597391304,2.117391304,1.375217391,0.553937073,-0.37334984,4736.46084,13,2,50,73.913,28.261,32.609,4.348,0.406086957,-0.473695652,0.046304348,0.114130435,0.056195652,-0.445130435,0.172695652,0.167043478,-0.046630435,13,16.02,60,0.35,1.12,-0.000197828,31.88695652,0.065217391,0.434782609,1.90652174,0.82608696,0.05043478,0.61384783,2.69413043,20.12195652,0.5823913,0.92217391,18.82292174,1.69565217,-1.08683488,0.36925853,-12.89413043,-0.53152174
ExtVal_65,0,7.84,0.016315789,1.191842105,0.567631579,-0.411052632,2.063157895,1.216842105,0.450063721,1.810907741,4061.67694,6,2,47.368,57.895,15.789,36.842,5.263,0.462105263,-0.059210526,-0.187105263,0.147368421,0.040631579,-0.458236842,0.023,-0.082052632,-0.052947368,30,0,90,0.5,1,0.000283135,60.48421053,0.105263158,0.421052632,2.07763158,0.92105263,0.00552632,0.54792105,2.67363158,19.89026316,0.53942105,1.00026316,17.66220789,1.84210526,-0.99055106,0.41295309,-9.03868421,0.12868421
ExtVal_66,0,11.45,-0.125909091,1.144772727,0.384090909,-0.225681818,1.454545455,1.144772727,0.572985421,8.719230277,4988.82884,7,2,34.091,59.091,15.909,45.455,4.545,-0.136363636,0.291818182,0.060681818,0.278636364,-0.381318182,-0.403045455,-0.113227273,0.300590909,0.425681818,30,0,40,0.73,1.15,0.001625237,115.7113636,0,0.318181818,1.91204545,1.02272727,-0.15568182,0.57468182,2.08334091,18.80477273,0.66561364,0.955,18.23313182,1.95454545,-1.92250467,0.42775688,-9.49818182,0.90409091
ExtVal_68,0,7.91,-0.013255814,1.132325581,0.620232558,-0.398837209,2.081395349,1.100930233,0.565371718,2.593459613,4677.35404,6,3,51.163,62.791,13.953,39.535,6.977,0.358372093,-0.133023256,-0.437209302,0.197209302,-0.06955814,-0.459302326,-0.07027907,-0.298651163,0.116627907,18,377.31,50,0.89,1,0.000383978,60.25581395,0.093023256,0.348837209,2.15581395,0.93023256,-0.1244186,0.53688372,2.66304651,19.46348837,0.59583721,0.95790698,17.9069814,2,-1.70296022,0.43667124,-7.76651163,0.38255814
ExtVal_69,0,7.91,-0.016976744,1.147906977,0.559767442,-0.267674419,1.925581395,1.116046512,0.475833133,2.591839251,4763.44444,6,3,46.512,62.791,13.953,44.186,6.977,0.403255814,-0.150930233,-0.332325581,0.166046512,-0.10644186,-0.403813953,-0.140906977,-0.278860465,0.118069767,21,377.42,30,0.92,1.03,0.000376829,42.28372093,0.093023256,0.348837209,2.16511628,0.97674419,-0.14581395,0.56234884,2.61423256,19.41930233,0.5784186,0.97930233,18.87755116,2.09302326,-1.78235205,0.44685831,-5.35744186,0.74581395
ExtVal_71,0,11.1,-0.112765957,1.000425532,0.528085106,-0.343829787,1.636170213,1.034468085,0.460438446,9.685743452,5466.27994,3,1,44.681,55.319,6.383,53.191,2.128,-0.055957447,0.230851064,-0.35,0.309574468,-0.204234043,-0.362702128,-0.241297872,-0.097574468,0.575617021,30,0,40,0.72,1.07,0.001617559,97.01276596,0.085106383,0.319148936,2.03829787,1.08510638,-0.16106383,0.55625532,2.21810638,19.10382979,0.61512766,0.95787234,18.83624468,2.17021277,-1.62156127,0.46946086,-6.84148936,0.7593617
ExtVal_72,0,8.75,-0.014864865,1.081891892,0.537297297,-0.330540541,2.024324324,0.92972973,0.528069012,2.055333965,3932.32154,7,1,45.946,64.865,18.919,37.838,2.703,0.233783784,-0.063513514,-0.07,0.188378378,-0.22772973,-0.348351351,0.251918919,-0.422810811,-0.139810811,17,1.84,90,1.03,0.91,0.000447831,-1.502702703,0.162162162,0.297297297,2.26891892,0.97297297,-0.18324324,0.51791892,2.9572973,18.87621622,0.56756757,0.92810811,16.59700541,1.78378378,-0.51250238,0.35599672,-9.45621622,-0.27108108
ExtVal_73,1,3.87,0.200833333,1.8925,0.416666667,-0.593333333,2.441666667,0.56,0.307574809,-1.996985366,1767.91714,0,3,25,25,0,58.333,25,-0.269166667,0.4325,-0.799166667,-0.2675,-0.109166667,0.643083333,-0.400416667,-0.216333333,-0.243416667,17,0,80,3.51,0.97,-0.001136383,-24.88333333,0.416666667,0,2.35333333,1.75,-0.32166667,0.78133333,2.79883333,18.73583333,0.4305,1.08,23.091925,2.5,5.57608833,0.62455913,16.0625,0.19583333
ExtVal_74,1,11.74,-0.155,1.546666667,-0.338333333,1.448333333,-1.6,1.503333333,0.536165367,4.996800853,786.03174,1,0,0,16.667,16.667,83.333,0,-2.5,1.183333333,0.175,0.808333333,-1.3515,0.280833333,0.338333333,-0.1595,1.399,30,0,50,2.86,0.95,0.006344622,48.51666667,0,0.166666667,2.23333333,1.83333333,-0.75666667,0.7145,1.69416667,15.14333333,0.69416667,1.13166667,19.32875,2.66666667,1.16831882,0.49275022,3.285,-0.01833333
ExtVal_75,1,12.61,-0.207222222,1.325555556,-0.235,0.988333333,-0.638888889,1.160555556,0.396472533,10.17801903,2354.84214,1,0,11.111,16.667,5.556,77.778,0,-1.522777778,1.365,0.197777778,0.588888889,-0.762277778,0.175277778,-0.019777778,0.0685,0.875222222,30,0,40,2.38,1.03,0.004276335,116.9833333,0.055555556,0.055555556,2.17444444,1.66666667,-0.54111111,0.62466667,1.83011111,16.82388889,0.67344444,1.06222222,18.96289444,2.61111111,-0.95209818,0.48834809,0.84222222,1.11666667
ExtVal_77,1,12.9,-0.049375,1.4078125,0.1671875,0.2309375,0.478125,1.086875,0.508531364,14.17771407,4181.96954,3,0,12.5,18.75,9.375,65.625,0,-1.334375,1.009375,0.0703125,0.4040625,-0.49971875,0.257875,-0.0354375,-0.12315625,0.72146875,29,0,50,2.2,0.98,0.003364244,107.30625,0.125,0.125,2.1996875,1.53125,-0.4053125,0.634375,2.14328125,17.609375,0.66921875,1.024375,18.809325,2.34375,-0.467678,0.49540031,1.85125,0.3784375
ExtVal_78,1,13.18,-0.05125,1.2596875,0.4278125,-0.0465625,0.946875,0.9425,0.602166787,14.1794644,4350.04994,3,0,12.5,18.75,9.375,65.625,0,-1.52375,1.103125,-0.0196875,0.4021875,-0.47009375,0.3011875,-0.159375,-0.10121875,1.01603125,24,0,50,1.97,1.01,0.00323495,201.309375,0.125,0.125,2.1303125,1.53125,-0.3453125,0.61975,1.93328125,17.7425,0.71609375,0.97375,18.8220375,2.34375,-1.19075696,0.51907477,1.729375,0.5378125
ExtVal_79,1,12.6,0.509444444,1.891111111,0.916111111,0.559444444,2.594444444,1.996111111,0.775006626,7.996790919,2355.09004,8,0,0,0,44.444,44.444,0,-1.887777778,0.506666667,0.303333333,0.274444444,0.108555556,0.644777778,0.779444444,0.149777778,0.830555556,14,251.14,180,1.36,0.91,0.003391421,11.97777778,0.111111111,0.555555556,1.88722222,1.55555556,0.69722222,0.81977778,2.16272222,20.85222222,0.5255,1.165,19.96419444,2,-1.01588141,0.52397001,3.23444444,-2.47833333
ExtVal_80,1,12.7,-0.0255,1.0095,0.7205,0.372,1.37,1.174,0.986137471,4.997967743,2307.77414,9,0,35,35,45,50,0,-1.526,-0.1335,0.3915,0.264,-0.01925,0.00985,0.76435,0.11505,0.61945,15,0,140,0.74,0.91,0.002162279,38.39,0,0.45,2.0485,1.05,0.5115,0.673,2.35925,19.0745,0.58125,1.1015,18.023065,1.7,-1.82014481,0.38390548,-7.9625,-1.9755
ExtVal_81,1,11.81,0.011666667,1.676666667,0.090555556,-0.221111111,1.838888889,1.69,0.298085014,3.088033042,2108.43664,3,0,5.556,55.556,16.667,38.889,0,-0.139444444,0.402222222,0.816111111,0.128333333,-0.432277778,-0.062333333,0.000333333,1.109444444,0.075944444,30,0,80,0.84,1.37,0.001436628,53.16111111,0.055555556,0.166666667,1.58444444,1.22222222,-0.26888889,0.68677778,2.02427778,19.75833333,0.7315,0.81944444,19.2652,1.77777778,-2.23171006,0.3813256,-12.41555556,0.74
ExtVal_82,1,11.81,0.049444444,1.747777778,0.124444444,-0.376111111,1.75,1.761111111,0.298085014,3.088033042,2122.46344,3,0,5.556,50,16.667,38.889,0,-0.148888889,0.402777778,0.831666667,0.126111111,-0.273611111,-0.019,-0.015888889,1.111277778,0.042,30,0,80,0.84,1.37,0.001427131,46.65,0.055555556,0.166666667,1.56222222,1.22222222,-0.23388889,0.68622222,2.03494444,20.23722222,0.74772222,0.82277778,19.33933333,1.77777778,-2.49080845,0.38803981,-11.80388889,0.70444444
ExtVal_83,1,11.81,0.048888889,1.731111111,0.154444444,-0.425,1.711111111,1.720555556,0.321117475,3.088033042,2108.43664,3,0,5.556,55.556,16.667,38.889,0,-0.151666667,0.395555556,0.783888889,0.131666667,-0.414277778,-0.056444444,-0.064666667,1.068777778,0.1075,30,0,80,0.84,1.38,0.001436628,53.16111111,0.055555556,0.166666667,1.59722222,1.22222222,-0.35388889,0.68677778,2.07455556,19.71166667,0.75233333,0.80111111,19.41335,1.77777778,-1.98374423,0.38169136,-12.14666667,0.68722222
ExtVal_84,1,11.81,0.117058824,1.932941176,0.081764706,-0.213529412,2.1,1.942941176,0.33866592,3.088033042,1963.31884,3,0,5.882,58.824,17.647,29.412,0,-0.015882353,0.613529412,0.848235294,0.152941176,-0.370529412,-0.071411765,0.042941176,1.435058824,0.027,30,0,120,0.82,1.46,0.001542811,55.7,0.058823529,0.176470588,1.37411765,1.23529412,-0.21470588,0.70641176,1.90841176,20.22882353,0.74017647,0.77058824,19.05718824,1.70588235,-2.10316866,0.37840417,-16.38,0.47823529
ExtVal_85,1,12.12,-0.096315789,1.606842105,-0.057368421,-0.074210526,1,1.63,0.334652602,5.087734697,2198.56204,2,0,21.053,57.895,10.526,47.368,0,-0.340526316,0.570526316,0.581578947,0.336315789,-0.511631579,-0.152210526,0.045315789,1.079894737,0.349421053,30,0,100,1.05,1.39,0.002287427,41.15263158,0.052631579,0.105263158,1.56421053,1.31578947,-0.37157895,0.65005263,1.90094737,19.28421053,0.77621053,0.79105263,18.97258947,1.94736842,-1.44026265,0.37563577,-15.49,0.48578947
ExtVal_86,1,12.41,0.687692308,2.446153846,0.824615385,-0.603076923,3.269230769,1.363076923,0.62971898,3.997679332,1911.34944,2,0,0,15.385,15.385,30.769,0,-0.744615385,1.769230769,-0.187692308,0.111538462,0.084461538,0.828461538,-0.355538462,0.344307692,0.432769231,15,0,130,2.98,1.18,0.002087028,147.6307692,0.307692308,0.230769231,1.74307692,1.61538462,0.15307692,0.82084615,2.05684615,19.47230769,0.49684615,0.98846154,21.76305385,2.30769231,1.53528949,0.637975,6.77615385,-0.51923077
ExtVal_87,1,12.12,0.767692308,2.755384615,0.747692308,-0.48,3.938461538,1.423076923,0.44868023,2.997682643,1907.29924,2,0,0,23.077,15.385,23.077,0,-0.324615385,1.785384615,-0.067692308,8.54E-18,0.144461538,0.883230769,-0.374538462,0.581384615,0.128846154,15,0,240,3.32,1.28,0.001567161,76.27692308,0.384615385,0.153846154,1.57461538,1.61538462,0.01,0.85692308,2.09984615,19.47153846,0.49369231,0.91769231,22.09061538,2.23076923,2.09180898,0.64730778,4.94846154,-0.3
