ID,Label,pI,hydrophobicity_Cid,hydrophobicity_Jones,hydrophobicity_Ponnuswamy,hydrophobicity_Welling,hydrophobicity_Zimmerman,charge,mw,Aliphatic,Acidic,%Tiny,%Small,%Aliphatic,%Polar,%Acidic,Electronic_Properties,Electrophilicity,Hardness,H_bonding,Hydrophobicity_index,"Bulky_properties,",Compositional_characteristic_index,Local_flexibility,Electronic_properties,Penetration Depth,Propensity to in vitro Aggregation,Angle Subtended by the Hydrophobic Residues,Amphiphilicity Index,Propensity to PPII coil,Charge Density,Instabilidy Index,Aromaticity,Hydroph Ratio,AASI,ABHPRK,argos,bulkiness,cougar,Ez,flexibility,levitt_alpha,MSS,pepcats,PPCALI,refractivity,t_scale,z3,hydrophobicity_Janin,hydrophobicity_Wolfenden,Aromatic,Basic,%Aromatic,%Charged,Linear Moment,hmoment,hydrophobicity_Wilson
MDPs_12,MDPs,10.80140159,0.227777778,1.647407407,0.565555556,0.185555556,1.663703704,8.747721854,2897.78644,9,0,33.333,44.444,33.333,33.333,0,-0.495555556,0.291851852,0.038148148,0.379259259,-0.105037037,-0.242037037,0.38262963,0.051777778,0.313555556,30,12.16,80,1.18,1,0.002888418,2.237037037,0,0.481481481,1.94703704,1,0.08962963,0.64885185,2.44559259,19.10259259,0.57707407,1.05888889,17.67851481,1.85185185,-1.24572329,0.4334718,-9.04296296,-1.00518519,-0.27037037,-2.762222222,0,9,0,33.333,0.27,0.617069693,1.614814815
MDPs_13,MDPs,11.34692062,0.035675676,1.460540541,0.414324324,-0.088918919,1.477297297,6.002415876,4493.32494,9,5,13.514,29.73,24.324,56.757,13.514,-0.959459459,-0.20972973,0.211621622,0.106486486,-0.355189189,0.150378378,0.416108108,0.050027027,0.343864865,30,0,60,1.06,0.96,0.00133266,23.34324324,0.108108108,0.351351351,2.16324324,1.48648649,-0.02783784,0.684,2.51894595,20.07216216,0.64975676,1.05567568,19.38224595,1.91891892,0.82075724,0.43114876,1.5827027,-0.77,-0.408108108,-5.99972973,4,11,10.811,43.243,0.2,0.966338908,1.405405405
MDPs_14,MDPs,12.5460704,0.181923077,1.433846154,0.771923077,-0.190384615,1.366153846,4.997092575,2847.48654,11,0,30.769,42.308,42.308,38.462,0,-1.073076923,-0.163076923,0.298076923,0.203846154,-0.076692308,-0.026307692,0.674615385,0.019,0.288076923,11,71.89,90,0.97,0.95,0.001751737,44.73076923,0.038461538,0.423076923,2.11076923,1.03846154,0.20384615,0.67880769,2.83888462,19.21115385,0.61542308,1.01192308,17.70092692,1.53846154,-0.21231542,0.36386985,-8.68807692,-2.42730769,-0.126923077,-2.971538462,1,5,3.846,19.231,0.45,0.567571025,1.761538462
MDPs_15,MDPs,10.80273277,0.110869565,1.35173913,0.527826087,-0.391304348,1.333913043,3.089488378,2466.92684,6,1,34.783,43.478,26.087,39.13,4.348,-0.28826087,-0.015652174,0.156956522,0.19826087,-0.088217391,-0.166869565,0.521826087,-0.221565217,-0.069130435,15,0,130,0.76,0.88,0.001228257,-0.104347826,0.130434783,0.434782609,2.23782609,1.13043478,0.08869565,0.57517391,2.97313043,19.85956522,0.55617391,1.03347826,16.78465217,1.65217391,0.8468809,0.34581216,-7.09956522,-1.46695652,-0.108695652,-2.613043478,4,5,17.391,26.087,0.25,0.686238917,1.443478261
MDPs_19,MDPs,5.739886437,0.151038961,1.337532468,0.752077922,-0.201688312,1.404935065,-1.278161317,8244.70104,30,9,35.065,53.247,38.961,42.857,11.688,-0.172337662,-0.636233766,0.191558442,0.035974026,0.017480519,-0.204454545,0.463233766,-0.140974026,-0.073649351,29,286.38,20,0.53,0.95,-0.000229967,24.71298701,0.038961039,0.493506494,2.20324675,1.03896104,0.18103896,0.65293506,2.93309091,20.46168831,0.55412987,1.06337662,19.17697532,1.71428571,-0.39265928,0.37666002,-3.60480519,-0.98545455,-0.022077922,-2.910519481,4,9,5.195,23.377,0.11,0.684073633,1.793506494
MDPs_20,MDPs,12.13060377,0.401923077,1.735,0.925384615,0.023461538,1.633461538,7.99509009,3141.88934,11,0,15.385,38.462,42.308,38.462,0,-1.286923077,0.271923077,0.147692308,0.266923077,-0.329115385,0.286615385,0.4475,-0.052307692,0.6695,13,18.63,100,1.6,1.01,0.00254086,8.011538462,0.115384615,0.423076923,2.03192308,1.30769231,-0.02038462,0.74746154,2.51484615,18.31192308,0.59292308,0.98923077,19.52041538,1.96153846,0.00703525,0.44351498,-3.12423077,-1.81230769,-0.303846154,-4.814615385,3,8,11.538,30.769,0.34,0.784771611,2.053846154
MDPs_21,MDPs,11.13012984,0.085384615,1.424615385,0.406923077,0.066153846,1.188076923,5.995363682,2985.58354,7,0,34.615,38.462,26.923,46.154,0,-0.617692308,0.186153846,0.138461538,0.255,-0.178692308,0.045538462,0.431692308,-0.180846154,0.171730769,15,0,50,1.67,0.95,0.002004314,19.82692308,0.153846154,0.346153846,2.20192308,1.19230769,0.06153846,0.63876923,2.74007692,18.36807692,0.54007692,1.07346154,18.35014615,1.96153846,0.6614005,0.4010834,-4.20461538,-1.24615385,-0.3,-3.721153846,4,6,15.385,23.077,0.27,0.828233532,1.223076923
MDPs_22,MDPs,10.13809315,0.00027027,1.158918919,0.568648649,0.093783784,1.22,3.873157633,3749.48584,14,2,43.243,59.459,37.838,40.541,5.405,-0.475135135,-0.470810811,0.177837838,0.19027027,-0.230378378,-0.348972973,0.67,-0.176540541,0.069081081,30,22.41,70,0.66,0.9,0.000981208,4.9,0.027027027,0.459459459,2.24081081,0.94594595,0.12378378,0.60856757,2.94664865,19.05216216,0.57205405,1.03945946,17.1518973,1.56756757,-0.07157382,0.3297704,-9.91351351,-1.67297297,-0.097297297,-2.285405405,1,6,2.703,21.622,0.14,0.67116788,1.437837838
MDPs_23,MDPs,10.48495327,0.018888889,1.191851852,0.535925926,0.098888889,1.297777778,3.088637963,2698.20134,11,1,48.148,48.148,40.741,37.037,3.704,-0.592222222,-0.325185185,0.302592593,0.266296296,0.035518519,-0.298259259,0.895777778,-0.14137037,-0.117777778,14,7.21,130,0.83,0.85,0.001122238,-0.677777778,0.037037037,0.407407407,2.20222222,0.92592593,0.23037037,0.56674074,3.00955556,19.51703704,0.59103704,1.0362963,15.75531852,1.51851852,-0.84197819,0.29596538,-12.94703704,-2.03814815,-0.088888889,-1.81962963,2,5,7.407,22.222,0.22,0.610157279,1.192592593
MDPs_24,MDPs,10.34879155,0.473333333,1.789583333,0.9875,0.012083333,1.80375,3.872854732,2531.24284,12,0,33.333,54.167,50,20.833,0,-0.31375,-0.017916667,0.254166667,0.153333333,0.057041667,-0.110083333,0.593333333,0.217791667,0.165083333,9,36.31,150,0.61,1.04,0.001453844,31.07083333,0.083333333,0.666666667,1.865,0.95833333,0.37875,0.72870833,2.72041667,19.48666667,0.45833333,1.05958333,18.78141667,1.58333333,0.54757317,0.39379066,-10.21,-2.27041667,0.041666667,-0.820833333,2,4,8.333,16.667,0.37,0.494202745,2.5625
MDPs_25,MDPs,10.57891039,0.102608696,1.35173913,0.654347826,-0.462173913,1.357391304,5.876111188,4887.92554,15,4,30.435,47.826,32.609,41.304,8.696,-0.649782609,-0.365652174,0.076086957,0.193478261,-0.229956522,-0.21526087,0.544326087,-0.269586957,0.106934783,30,3.04,30,0.8,0.88,0.001161851,-6.297826087,0.02173913,0.413043478,2.27652174,1.08695652,-0.01021739,0.60767391,2.96936957,19.89891304,0.65306522,1.00369565,17.12539348,1.58695652,0.05786058,0.35880044,-5.94326087,-1.57478261,-0.156521739,-3.181304348,1,10,2.174,30.435,0.16,0.61161486,1.523913043
MDPs_26,MDPs,11.97071967,0.126153846,1.463461538,0.456153846,0.283461538,1.478076923,9.085971117,2902.57164,8,0,30.769,34.615,30.769,42.308,0,-0.968076923,0.398846154,0.170769231,0.402692308,-0.238153846,-0.009576923,0.603769231,-0.226230769,0.351576923,21,3.04,90,1.43,0.88,0.00310969,1.288461538,0.115384615,0.384615385,2.15884615,1.23076923,-0.04653846,0.60253846,2.61719231,18.47346154,0.5945,1.03807692,16.62647308,1.88461538,-0.17892262,0.3829514,-7.35807692,-1.415,-0.380769231,-3.969615385,4,10,15.385,38.462,0.19,0.89890118,0.938461538
MDPs_27,MDPs,11.72178448,0.3044,1.5144,0.8116,0.5232,1.6048,5.088596289,3000.77264,12,2,8,28,48,48,8,-1.3836,0.0592,0.3592,0.1312,-0.23968,0.23708,0.64364,0.06668,0.48512,17,0,70,0.99,0.93,0.001676253,-2.644,0,0.52,2.1996,1.36,0.4232,0.76984,2.602,19.7432,0.52,1.15,20.04674,1.88,-0.51317626,0.43026569,1.6512,-1.8392,-0.276,-4.7892,1,8,4,40,0.17,0.741495994,1.848
MDPs_28,MDPs,12.02729024,0.115,1.451666667,0.48,0.09547619,1.457857143,10.08667795,4543.51534,16,1,28.571,50,38.095,45.238,2.381,-0.734761905,0.049047619,0.484047619,0.28452381,-0.280095238,-0.107952381,0.549738095,0.02202381,0.219761905,30,183.9,50,0.94,0.99,0.002206904,8.319047619,0.047619048,0.428571429,2.07738095,1.14285714,-0.05619048,0.65185714,2.61419048,18.79,0.58728571,1.02833333,18.18054048,1.73809524,0.3261813,0.34957397,-7.68738095,-1.18,-0.292857143,-3.619761905,3,12,7.143,30.952,0.23,0.748132717,0.730952381
MDPs_29,MDPs,12.51649683,0.448181818,1.504545455,1.090909091,-0.152272727,1.563181818,3.361319007,2572.05984,7,0,22.727,36.364,31.818,40.909,0,-0.803181818,0.523636364,-0.086818182,0.169545455,-0.003954545,0.102636364,0.251090909,-0.185590909,0.418818182,13,0,180,0.65,0.93,0.001227046,8.113636364,0.136363636,0.454545455,2.26454545,1.31818182,0.04954545,0.68595455,2.99663636,19.66590909,0.48481818,0.97727273,19.06196364,1.90909091,0.17991426,0.41659363,-4.01090909,-2.01136364,0.063636364,-3.664090909,7,7,31.818,31.818,0.27,0.72900148,2.177272727
MDPs_30,MDPs,9.537315374,0.071818182,1.328484848,0.603939394,-0.403333333,1.379090909,0.999169354,3323.87714,12,1,45.455,54.545,36.364,36.364,3.03,-0.10969697,-0.613333333,0.448484848,0.124848485,0.105090909,-0.266606061,0.797878788,0.173636364,-0.167090909,13,36.74,50,0.3,1.01,0.000297547,39.52424242,0.090909091,0.454545455,2.00818182,0.96969697,0.34848485,0.60439394,3.0000303,20.77484848,0.61245455,0.98212121,17.18454545,1.39393939,0.24380482,0.29971001,-13.09181818,-2.11515152,0.06969697,-1.393333333,3,2,9.091,9.091,0.19,0.498854381,2.084848485
MDPs_31,MDPs,10.50700064,0.151304348,1.3,0.748695652,0.002173913,1.329565217,2.089783411,2266.71214,11,1,43.478,52.174,47.826,30.435,4.348,-0.482173913,-0.273478261,0.355217391,0.207826087,-0.066565217,-0.314217391,0.897347826,-0.15,-0.099608696,10,0.71,80,0.6,0.86,0.000895579,-4.613043478,0.043478261,0.52173913,2.21434783,0.91304348,0.22826087,0.58221739,3.114,19.16347826,0.55617391,1.04869565,15.76924348,1.39130435,0.38514113,0.29104775,-12.37173913,-2.3,0.026086957,-1.194347826,2,4,8.696,21.739,0.23,0.481552478,1.652173913
MDPs_32,MDPs,11.39458024,0.180857143,1.552,0.651428571,-0.412,1.418857143,6.000200892,3894.72684,13,3,25.714,40,37.143,40,8.571,-0.816285714,-0.024285714,0.249428571,0.199428571,-0.207171429,-0.042342857,0.509914286,-0.095285714,0.166571429,30,0,60,1.11,0.93,0.001537478,67.26571429,0.057142857,0.428571429,2.17371429,1.17142857,-0.02742857,0.63637143,2.78051429,19.24,0.63451429,1.03685714,17.59900857,1.65714286,0.91999621,0.37313493,-4.61142857,-1.47257143,-0.24,-3.846,2,9,5.714,34.286,0.23,0.910460367,1.165714286
MDPs_33,MDPs,11.18477985,0.115405405,1.442702703,0.608918919,-0.153243243,1.332162162,5.998137358,4004.82144,15,2,27.027,45.946,40.541,40.541,5.405,-0.858918919,-0.198108108,0.338378378,0.160540541,-0.320945946,-0.096432432,0.557702703,-0.109945946,0.162378378,30,260.48,60,1.08,0.93,0.001494964,16.52432432,0.054054054,0.432432432,2.23648649,1.08108108,-0.09513514,0.65143243,2.89091892,18.2872973,0.61037838,1.04432432,17.60900541,1.59459459,0.92210531,0.35209486,-6.00810811,-1.6427027,-0.22972973,-3.156756757,2,8,5.405,27.027,0.23,0.795292803,1.132432432
MDPs_34,MDPs,12.51649683,0.395217391,1.442173913,1.04,-0.165217391,1.518695652,3.361319007,2673.16494,7,0,26.087,39.13,30.435,43.478,0,-0.816956522,0.437391304,-0.100434783,0.17826087,-0.005173913,0.071652174,0.255,-0.172434783,0.425695652,13,0,110,0.62,0.93,0.001180638,4.504347826,0.130434783,0.434782609,2.26086957,1.30434783,0.04173913,0.68556522,2.98430435,19.67478261,0.48908696,0.97043478,19.20521304,1.91304348,0.21180595,0.40973635,-4.71043478,-2.03565217,0.052173913,-3.716956522,7,7,30.435,30.435,0.27,0.72900148,1.986956522
MDPs_35,MDPs,11.65178158,0.455833333,1.6425,1.0125,-0.625833333,1.396666667,2.088595045,1410.74334,4,0,25,25,33.333,33.333,0,-0.766666667,0.550833333,-0.019166667,0.21,0.28225,0.146333333,0.38675,-0.2115,0.135083333,13,1.51,200,1.21,0.89,0.00143968,18.14166667,0.083333333,0.416666667,2.21583333,1.16666667,0.39583333,0.65066667,3.00033333,20.69333333,0.54866667,1.02916667,17.84575833,1.75,-0.65480812,0.42315228,-3.2475,-2.2125,0.025,-3.2075,2,3,16.667,25,0.35,0.662600883,2.333333333
MDPs_36,MDPs,10.80539353,0.265,1.460555556,0.821666667,0.043888889,1.559444444,1.997394232,1777.22384,10,0,33.333,50,55.556,22.222,0,-0.603333333,-0.422777778,0.646666667,0.158333333,0.139222222,-0.190611111,1.131555556,0.143166667,-0.193666667,12,0,240,0.41,0.89,0.00111917,-9.422222222,0,0.555555556,1.99,0.83333333,0.61666667,0.65222222,2.99372222,20.72277778,0.56261111,1.03555556,15.98942222,1.16666667,-1.32819811,0.2954777,-13.98833333,-2.88722222,0.072222222,-0.272777778,0,2,0,11.111,0.33,0.55082047,2.611111111
MDPs_37,MDPs,12.10483083,0.017837838,1.503243243,0.276486486,0.16027027,1.528378378,11.99668363,4453.43954,9,2,13.514,27.027,24.324,54.054,5.405,-1.237027027,0.168648649,0.284864865,0.276486486,-0.390135135,0.153027027,0.420540541,0.075945946,0.473783784,30,0,80,1.46,0.97,0.002690759,30.9972973,0.081081081,0.297297297,2.0972973,1.40540541,-0.11783784,0.67364865,2.34924324,19.04918919,0.67113514,1.04054054,18.49813243,1.97297297,-0.38976173,0.42860048,-1.89459459,-0.75783784,-0.559459459,-5.965135135,3,14,8.108,43.243,0.21,0.671744617,0.889189189
MDPs_38,MDPs,12.80107875,0.370909091,1.446363636,1.075454545,-0.505,1.479090909,3.270701638,2491.93014,7,0,31.818,36.364,31.818,36.364,0,-0.651818182,0.367727273,-0.008636364,0.202272727,0.184909091,0.005909091,0.354954545,-0.219954545,0.298909091,13,0,220,0.53,0.91,0.00125005,39.66363636,0.136363636,0.454545455,2.19090909,1.18181818,0.12772727,0.61559091,2.97736364,20.22227273,0.55872727,0.955,17.55622727,1.72727273,-0.34602497,0.38929739,-7.10454545,-1.98727273,0.095454545,-3.564545455,6,6,27.273,27.273,0.27,0.780507489,2.122727273
MDPs_39,MDPs,9.667771694,0.5105,1.7405,1.134,-0.568,1.742,2.873149766,2105.72974,9,0,35,50,45,20,0,-0.3495,-0.0515,-0.0055,0.166,0.19195,-0.14915,0.47035,-0.01,0.16235,12,24.12,140,0.55,0.98,0.001272724,17.95,0.05,0.65,1.999,0.9,0.4035,0.69855,2.93225,20.1615,0.49375,1.041,18.38777,1.55,0.12851379,0.39930637,-9.154,-2.581,0.115,-0.7255,1,3,5,15,0.34,0.395740574,2.575
MDPs_42,MDPs,12.14157589,0.232666667,1.531333333,0.650333333,0.202666667,1.432,8.963455544,3614.48764,9,0,23.333,30,30,43.333,0,-0.748333333,0.565,0.098666667,0.262666667,-0.105233333,0.096033333,0.2257,0.038866667,0.4928,18,5.47,40,1.3,1.01,0.002412809,37.00333333,0.1,0.466666667,2.03866667,1.23333333,0.215,0.68256667,2.3487,18.80633333,0.5097,1.114,19.22397,2.06666667,-0.4383738,0.47208245,-2.04833333,-0.78133333,-0.283333333,-5.042,4,10,13.333,33.333,0.21,0.825095453,1.746666667
MDPs_43,MDPs,10.30361577,0.091212121,1.291818182,0.582424242,0.197272727,1.332424242,5.809439534,3462.19014,12,0,45.455,48.485,36.364,36.364,0,-0.121515152,-0.155757576,0.22,0.246363636,0.042090909,-0.259787879,0.54330303,-0.158151515,0.042181818,18,110.71,50,0.9,0.94,0.001595242,42.68181818,0.090909091,0.515151515,2.08515152,0.90909091,0.25909091,0.59345455,2.70724242,19.02151515,0.51390909,1.10181818,17.42618788,1.78787879,-0.94095105,0.37759443,-8.85242424,-0.96484848,-0.115151515,-2.416060606,3,6,9.091,18.182,0.18,0.601526242,1.7
MDPs_44,MDPs,7.193119071,0.212131148,1.282459016,0.893934426,0.081147541,1.293114754,-0.345621058,5993.18894,27,5,52.459,67.213,44.262,24.59,8.197,0.451967213,-0.15147541,0.003114754,0.134754098,0.026639344,-0.565590164,0.351737705,-0.146786885,-0.134131148,7,110.02,70,0.41,0.97,-0.00023777,30.74590164,0.016393443,0.639344262,2.14114754,0.73770492,0.24295082,0.57593443,2.88488525,18.95147541,0.44734426,1.10360656,17.47833115,1.68852459,-0.5270501,0.36846893,-10.21934426,-0.61377049,0.168852459,-1.426065574,4,8,6.557,21.311,0.29,0.445467852,2.108196721
MDPs_45,MDPs,10.13809331,0.015757576,1.186666667,0.534848485,0.124848485,1.216060606,3.874486271,3322.00034,14,2,48.485,60.606,42.424,42.424,6.061,-0.271212121,-0.323030303,0.31030303,0.25969697,-0.170424242,-0.402151515,0.617969697,-0.111242424,0.029575758,30,151.45,40,0.71,0.95,0.001107472,19.15454545,0,0.515151515,2.16636364,0.90909091,0.15757576,0.59821212,2.78151515,18.71060606,0.53151515,1.10181818,17.75391212,1.6969697,0.29938254,0.32485447,-9.64030303,-1.14363636,-0.13030303,-2.526363636,0,6,0,24.242,0.24,0.664952526,0.793939394
MDPs_46,MDPs,10.13809331,0.015757576,1.186060606,0.546969697,0.134545455,1.22969697,3.874486271,3309.00164,14,2,51.515,60.606,42.424,42.424,6.061,-0.336666667,-0.332424242,0.249393939,0.27030303,-0.140818182,-0.407666667,0.640333333,-0.091363636,0.065393939,30,151.21,40,0.71,0.95,0.00111182,19.15454545,0,0.515151515,2.16181818,0.90909091,0.18060606,0.60309091,2.79654545,18.70818182,0.5289697,1.09939394,17.76906364,1.6969697,0.43747569,0.32414909,-10.41121212,-1.38848485,-0.121212121,-2.380909091,0,6,0,24.242,0.23,0.66112174,0.733333333
MDPs_47,MDPs,10.41394091,0.127027027,1.352972973,0.694864865,-0.076486486,1.381351351,4.875519876,3713.58514,16,2,40.541,45.946,43.243,29.73,5.405,-0.567837838,-0.336756757,0.181081081,0.208918919,-0.049540541,-0.305027027,0.808486486,-0.195837838,-0.04572973,24,100.41,50,0.8,0.83,0.001259977,17.65675676,0.027027027,0.513513514,2.20675676,0.89189189,0.22135135,0.59024324,3.01027027,19.30297297,0.58108108,1.07486486,15.71927838,1.43243243,-0.14725112,0.33521648,-10.44216216,-2.10054054,-0.07027027,-1.464324324,1,7,2.703,24.324,0.15,0.601363079,1.764864865
MDPs_48,MDPs,9.549338535,0.135555556,1.281481481,0.587037037,0.022962963,1.332962963,2.964361758,2945.60824,9,2,29.63,51.852,33.333,44.444,7.407,-0.328888889,-0.07,0.137777778,0.168518519,-0.164925926,-0.214,0.349777778,-0.163111111,0.047962963,30,0,100,0.73,0.93,0.000923751,-12.72592593,0,0.481481481,2.25666667,1.07407407,0.21333333,0.64940741,2.77792593,19.83222222,0.49533333,1.10148148,19.01402222,1.85185185,-0.61039216,0.386481,-3.22074074,-0.79333333,-0.148148148,-3.348888889,1,6,3.704,29.63,0.2,0.646883211,1.296296296
MDPs_49,MDPs,9.667771694,0.440833333,1.6825,1.050416667,-0.03125,1.702916667,2.873149766,2442.10294,13,0,37.5,62.5,54.167,20.833,0,-0.270416667,-0.195833333,0.294166667,0.15375,-0.01325,-0.221375,0.647541667,0.21625,0.157916667,9,134.27,150,0.46,1.06,0.001097421,34.60833333,0.041666667,0.666666667,1.89416667,0.875,0.36583333,0.7185,2.82125,19.27666667,0.47916667,1.03583333,18.65123333,1.5,0.48072288,0.36398817,-12.2,-2.41833333,0.116666667,-0.520416667,1,3,4.167,12.5,0.35,0.483331827,2.620833333
